	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021	F1C.3.Ca.022
F1C.3.Dr.021	0.359894619092	0.258856602276	0.368125032265	0.364987834171	0.355784345769	0.314848338241	0.310303149828	0.156998474649	0.275466160987	0.422979149481	0.0	0.399799224915	0.284918993619	0.368838056764	0.514019353038	0.758694417936	0.414991704323	0.472750824229	0.183892061426	0.757035462192
F1W.3.Dr.022	0.0429896170587	0.183813432451	0.039945606869	0.0351347530357	0.0440148791458	0.332197614991	0.115159258348	0.338897366186	0.168856433748	0.0242471604014	0.399799224915	0.0	0.334267987576	0.263528603776	0.707523449967	0.878237921447	0.540870959207	0.470978402411	0.254777565874	0.878779639748
F1W.3.Dr.021	0.307289246812	0.174502893261	0.294676860078	0.299618650741	0.29094780858	0.22428382392	0.239609466759	0.362172099986	0.191845621799	0.357340005009	0.284918993619	0.334267987576	0.0	0.284804442869	0.54791244383	0.783352312781	0.602786825377	0.375017963759	0.102213899129	0.781862878007
F2W.2.Ca.021	0.236570130608	0.209065892494	0.223937476279	0.228879266942	0.220228692375	0.124705783728	0.162809081047	0.432327100576	0.225077266865	0.286600621209	0.368838056764	0.263528603776	0.284804442869	0.0	0.588104084377	0.802876850661	0.512770430898	0.291314028281	0.203725038402	0.801521645456
F1W.2.Ce.021	0.680303289702	0.613308703061	0.674319471017	0.672702032979	0.66388071781	0.533231028595	0.644507636073	0.528509362424	0.626837501146	0.700580939757	0.514019353038	0.707523449967	0.54791244383	0.588104084377	0.0	0.537506945731	0.356483574538	0.413441733927	0.588169795472	0.53432734457
F2F.3.Ce.022	0.841951605459	0.821157961019	0.843885461821	0.843103168411	0.844547166581	0.784122592777	0.829455423003	0.781938854968	0.820891240025	0.875321026642	0.758694417936	0.878237921447	0.783352312781	0.802876850661	0.537506945731	0.0	0.691037042765	0.728720876017	0.802908617321	0.101980588653
F1F.3.Ca.021	0.50203339153	0.541413829514	0.508499819318	0.506059568463	0.496856080061	0.455043737509	0.574483490517	0.348579802655	0.554498092464	0.564050883774	0.414991704323	0.540870959207	0.602786825377	0.512770430898	0.356483574538	0.691037042765	0.0	0.407222273411	0.512841721785	0.688912948212
F2W.2.Ce.021	0.443386095158	0.340745294534	0.438952557947	0.436167011668	0.426963523266	0.204224032968	0.387611990759	0.487993460683	0.356643108391	0.45842472847	0.472750824229	0.470978402411	0.375017963759	0.291314028281	0.413441733927	0.728720876017	0.407222273411	0.0	0.291427046414	0.726855854673
F1C.3.Ca.021	0.227687766209	0.0925933110308	0.223810962307	0.219956148886	0.211265194316	0.136343392853	0.152760907367	0.280651523072	0.110647965991	0.277964166634	0.183892061426	0.254777565874	0.102213899129	0.203725038402	0.588169795472	0.802908617321	0.512841721785	0.291427046414	0.0	0.80155363051
F1C.3.Ca.022	0.851277534421	0.819928436923	0.853081131603	0.852351483543	0.843478441321	0.782638453613	0.839632611765	0.780439702789	0.831661376162	0.875880013063	0.757035462192	0.878779639748	0.781862878007	0.801521645456	0.53432734457	0.101980588653	0.688912948212	0.726855854673	0.80155363051	0.0
