	F2F.2.Ce.021	F1C.3.Ca.021	F2F.3.Ce.021	F1C.3.Dr.021	F2W.2.Ce.021	F3W.2.Ce.021	F2W.2.Ca.021	F1F.3.Ca.021	F1W.2.Ce.021	F1W.3.Dr.021	F2F.3.Ce.022	F2F.2.Ce.022	F3W.2.Ce.022	F2W.2.Ca.022	F2W.2.Ce.022	F1W.3.Dr.022	F1W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F1C.3.Ca.022
F2F.3.Ce.022	0.252416996706	0.44435732595	0.235126185844	0.382643354128	0.451318871192	0.486599596559	0.418570539084	0.431934132269	0.536687953108	0.446212273841	0.0	0.114880129377	0.472022550103	0.355089928171	0.475579753544	0.560162880749	0.537870335582	0.613272693654	0.584037760146	0.591162955816
F2F.2.Ce.022	0.296797119985	0.450767023076	0.259414073744	0.403712877827	0.472890302526	0.505243729305	0.426611261601	0.449679530907	0.551199300004	0.473225659835	0.114880129377	0.0	0.498335167403	0.352198035368	0.508977826296	0.554109493792	0.530611547185	0.605504975121	0.577458130929	0.582311315695
F3W.2.Ce.022	0.547706674321	0.564508771976	0.514648619719	0.526803578817	0.542113057069	0.517277026858	0.475995009353	0.502277203303	0.598805950977	0.506326696741	0.472022550103	0.498335167403	0.0	0.295015217939	0.392060708544	0.499307183735	0.407403177723	0.631737974249	0.553322961435	0.521608405053
F2W.2.Ca.022	0.460627552783	0.482477010186	0.352976537832	0.429592130645	0.523966284782	0.492053124821	0.389229149783	0.483109850105	0.556055141141	0.468081703328	0.355089928171	0.352198035368	0.295015217939	0.0	0.466511302445	0.522242520359	0.411064061716	0.656561343622	0.572775615448	0.557654052418
F2W.2.Ce.022	0.500149113118	0.566649005318	0.520245225059	0.525399855327	0.479576626378	0.510190267056	0.510165977749	0.480830596195	0.604663697354	0.535815477097	0.475579753544	0.508977826296	0.392060708544	0.466511302445	0.0	0.218794867771	0.270688871569	0.315100114558	0.235947265318	0.240587511779
F1W.3.Dr.022	0.561823525605	0.628025903528	0.580146502612	0.597759645569	0.574422672467	0.591735084903	0.563392788824	0.57960927129	0.669589131619	0.584637522069	0.560162880749	0.554109493792	0.499307183735	0.522242520359	0.218794867771	0.0	0.177349701325	0.174738783864	0.201028639755	0.114571600769
F1W.2.Ce.022	0.545783969657	0.593143907642	0.544673875653	0.568670049656	0.562414430756	0.567319674831	0.52548032296	0.568062901441	0.637429617871	0.543841220488	0.537870335582	0.530611547185	0.407403177723	0.411064061716	0.270688871569	0.177349701325	0.0	0.291900356554	0.276432731063	0.217849101782
F1C.3.Dr.022	0.600705737818	0.659564544595	0.637092581634	0.642072980477	0.613224317237	0.641352795561	0.649908880904	0.615194317305	0.710703989356	0.637882767526	0.613272693654	0.605504975121	0.631737974249	0.656561343622	0.315100114558	0.174738783864	0.291900356554	0.0	0.14931647121	0.200018574296
F1F.3.Ca.022	0.573094061701	0.645830067916	0.589117001579	0.617003296615	0.576294537924	0.604464894197	0.589742910598	0.57992568343	0.690355950806	0.60908911246	0.584037760146	0.577458130929	0.553322961435	0.572775615448	0.235947265318	0.201028639755	0.276432731063	0.14931647121	0.0	0.208347671491
F1C.3.Ca.022	0.600365657268	0.647894983767	0.603029401511	0.616295093557	0.597253421862	0.62112530059	0.597205972232	0.596649278113	0.693398357802	0.612469136887	0.591162955816	0.582311315695	0.521608405053	0.557654052418	0.240587511779	0.114571600769	0.217849101782	0.200018574296	0.208347671491	0.0
