	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021	F1C.3.Ca.022
F1C.3.Dr.021	0.489469916057	0.313359763524	0.459962230789	0.460863678442	0.519879264366	0.535856114587	0.451285575112	0.346543242574	0.445565380936	0.517194497414	0.0	0.550789852088	0.513729583802	0.381480824444	0.412466529565	0.4118718529	0.364379833746	0.407291893599	0.470489158337	0.538001564343
F1W.3.Dr.022	0.373236748883	0.518400609014	0.171643897999	0.138087882466	0.104203686989	0.525116145988	0.413092562748	0.605427702392	0.44176855201	0.0674061907654	0.550789852088	0.0	0.607980349616	0.667610215403	0.730684332718	0.428929858337	0.339947113051	0.719464829795	0.774676932925	0.845622389618
F1W.3.Dr.021	0.599918637033	0.485624599499	0.562199222522	0.556352122097	0.583570382929	0.128303092537	0.598215228196	0.499520926668	0.334699049603	0.585782470756	0.513729583802	0.607980349616	0.0	0.635843026098	0.672892864282	0.515280927375	0.459733044687	0.598188663998	0.719597804155	0.788244451118
F2W.2.Ca.021	0.591151555025	0.274758168794	0.582417034573	0.58717767713	0.62530616369	0.666722014707	0.591398222631	0.206772994957	0.647197129086	0.632441203901	0.381480824444	0.667610215403	0.635843026098	0.0	0.0777421445251	0.481206178801	0.490356437517	0.0963117113743	0.136490690803	0.233929538441
F1W.2.Ce.021	0.650066708274	0.351739074999	0.650534364809	0.650555637085	0.687627187771	0.722253475583	0.666309304578	0.243156276464	0.706861941396	0.694393720295	0.412466529565	0.730684332718	0.672892864282	0.0777421445251	0.0	0.477753551956	0.51526717887	0.0767073447429	0.0930287310089	0.159591296493
F2F.3.Ce.022	0.400747526393	0.506584247756	0.360672927346	0.347874457155	0.380953757876	0.498188652815	0.410614138574	0.498191540759	0.419232121305	0.408060558055	0.4118718529	0.428929858337	0.515280927375	0.481206178801	0.477753551956	0.0	0.274490898753	0.513554050939	0.569713256359	0.604090191313
F1F.3.Ca.021	0.354507859543	0.43323800981	0.295529603697	0.260140174699	0.29952170866	0.451130161685	0.394570079441	0.466279994097	0.40486558518	0.319084800946	0.364379833746	0.339947113051	0.459733044687	0.490356437517	0.51526717887	0.274490898753	0.0	0.518278929024	0.593932116319	0.652066873941
F2W.2.Ce.021	0.660010477309	0.276445075344	0.649999640146	0.651412623846	0.688484027034	0.646840261619	0.667307764505	0.177115253778	0.631475871514	0.691473952767	0.407291893599	0.719464829795	0.598188663998	0.0963117113743	0.0767073447429	0.513554050939	0.518278929024	0.0	0.147709337569	0.216044614859
F1C.3.Ca.021	0.711511730291	0.388360428992	0.705485298075	0.705352975428	0.743881583798	0.759497409486	0.721589051888	0.317168032791	0.750887515329	0.747730107277	0.470489158337	0.774676932925	0.719597804155	0.136490690803	0.0930287310089	0.569713256359	0.593932116319	0.147709337569	0.0	0.10284966755
F1C.3.Ca.022	0.782193479385	0.478482851952	0.779392213952	0.777967428394	0.814425497309	0.823739711704	0.796272042564	0.383831172561	0.82066678302	0.817343943053	0.538001564343	0.845622389618	0.788244451118	0.233929538441	0.159591296493	0.604090191313	0.652066873941	0.216044614859	0.10284966755	0.0
